Detector, Extractor,Mean, Cemera based TTC,,,,,,,,,,,
SIFT,SIFT,,13.5449,,,,,,,,,,,
SIFT,SIFT,,14.7038,,,,,,,,,,,
SIFT,SIFT,,12.7476,,,,,,,,Detector,Extractor,mean_ttc,var_ttc
SIFT,SIFT,,18.195,,,,,,,,SIFT,SIFT,12.11,6.3
SIFT,SIFT,,12.8413,,,,,,,,SIFT,BRIEF,13.33,9.88
SIFT,SIFT,,11.5246,,,,,,,,AKAZE,AKAZE,13.54,7.54
SIFT,SIFT,,14.9995,,,,,,,,,,,
SIFT,SIFT,,14.0802,,,,,,,,,,,
SIFT,SIFT,,12.2322,,,,,,,,,,,
SIFT,SIFT,,11.7029,,,,,,,,,,,
SIFT,SIFT,,12.8143,,,,,,,,,,,
SIFT,SIFT,,12.118,,,,,,,,,,,
SIFT,SIFT,,10.2178,,,,,,,,,,,
SIFT,SIFT,,9.33618,,,,,,,,,,,
SIFT,SIFT,,10.4909,,,,,,,,,,,
SIFT,SIFT,,8.67122,,,,,,,,,,,
SIFT,SIFT,,8.91498,,,,,,,,,,,
SIFT,SIFT,,8.75899,,,,,,,,,,,
------------------------------------------------,,12.10524278,6.303756264,,,,,,,,,,,
SIFT,BRISK,,14.8146,,,,,,,,,,,
SIFT,BRISK,,15.4605,,,,,,,,,,,
SIFT,BRISK,,15.4963,,,,,,,,,,,
SIFT,BRISK,,21.9719,,,,,,,,,,,
SIFT,BRISK,,19.215,,,,,,,,,,,
SIFT,BRISK,,17.5039,,,,,,,,,,,
SIFT,BRISK,,17.4038,,,,,,,,,,,
SIFT,BRISK,,15.5756,,,,,,,,,,,
SIFT,BRISK,,14.6939,,,,,,,,,,,
SIFT,BRISK,,12.3211,,,,,,,,,,,
SIFT,BRISK,,13.511,,,,,,,,,,,
SIFT,BRISK,,12.2824,,,,,,,,,,,
SIFT,BRISK,,10.9153,,,,,,,,,,,
SIFT,BRISK,,11.1893,,,,,,,,,,,
SIFT,BRISK,,10.5142,,,,,,,,,,,
SIFT,BRISK,,8.72479,,,,,,,,,,,
SIFT,BRISK,,10.3907,,,,,,,,,,,
SIFT,BRISK,,11.7597,,,,,,,,,,,
------------------------------------------------,,14.09688833,11.9934817,,,,,,,,,,,
SIFT,BRIEF,,12.7896,,,,,,,,,,,
SIFT,BRIEF,,14.3014,,,,,,,,,,,
SIFT,BRIEF,,14.9992,,,,,,,,,,,
SIFT,BRIEF,,20.5143,,,,,,,,,,,
SIFT,BRIEF,,16.6424,,,,,,,,,,,
SIFT,BRIEF,,18.0627,,,,,,,,,,,
SIFT,BRIEF,,14.619,,,,,,,,,,,
SIFT,BRIEF,,16.1712,,,,,,,,,,,
SIFT,BRIEF,,13.7396,,,,,,,,,,,
SIFT,BRIEF,,11.9605,,,,,,,,,,,
SIFT,BRIEF,,13.6163,,,,,,,,,,,
SIFT,BRIEF,,12.0517,,,,,,,,,,,
SIFT,BRIEF,,10.1282,,,,,,,,,,,
SIFT,BRIEF,,9.00602,,,,,,,,,,,
SIFT,BRIEF,,10.857,,,,,,,,,,,
SIFT,BRIEF,,9.50039,,,,,,,,,,,
SIFT,BRIEF,,10.3451,,,,,,,,,,,
SIFT,BRIEF,,10.7317,,,,,,,,,,,
------------------------------------------------,,13.33535056,9.875881844,,,,,,,,,,,
SIFT,FREAK,,14.9161,,,,,,,,,,,
SIFT,FREAK,,14.3369,,,,,,,,,,,
SIFT,FREAK,,15.5012,,,,,,,,,,,
SIFT,FREAK,,22.7348,,,,,,,,,,,
SIFT,FREAK,,17.6487,,,,,,,,,,,
SIFT,FREAK,,13.1919,,,,,,,,,,,
